,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TotalSpend,GroupedTenure_13-24,GroupedTenure_25-36,GroupedTenure_37-60,GroupedTenure_61-72
0,0,0,1,0,1,0,1,-1.3666123512552484,-2.3882461238280466,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-2.3377022991569403,False,False,False,False
1,1,0,0,0,41,1,1,-1.3368120957174805,-0.02469403525797953,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,-0.4270543714384889,False,False,True,False
2,0,0,1,1,52,1,0,-1.7755653341938153,-0.0022343880830906367,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,-0.5462121370177859,False,False,True,False
3,0,0,0,0,1,1,0,0.5256280776253567,-1.6781989295059534,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,-1.1801558934596958,False,False,False,False
4,1,0,0,0,67,1,0,-0.1737096917219491,0.7413902453377884,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.5409089407170201,False,False,False,True
5,0,1,1,0,68,1,1,0.7981219356010142,1.1493901305820369,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,1.1607177474089563,False,False,False,True
6,0,0,1,1,23,1,1,0.5433610204053634,0.34268869026540977,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,0.4409949220445203,True,False,False,False
7,1,0,1,1,72,1,0,0.4282346422199411,1.0200484896882434,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,0.9457729974802088,False,False,False,True
8,1,0,0,0,70,1,1,1.0523347750819505,1.2581598762649775,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,1.3241143044826411,False,False,False,True
9,1,0,0,0,1,1,0,-1.7713361169273132,-2.5401152890275895,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-2.5901266459212104,False,False,False,False
10,1,0,0,0,1,1,0,-1.684838851672245,-2.5076579228422426,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-2.535968552748023,False,False,False,False
11,1,0,1,1,34,1,1,0.6891770600258756,0.6679355514524699,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,0.7442571168342678,False,True,False,False
12,1,1,1,1,28,1,1,-0.15873070168481984,0.186557147065691,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.10338774978775407,False,True,False,False
13,0,1,0,0,18,1,1,0.717314912347533,0.24211517378929306,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,0.41347405118674435,True,False,False,False
14,0,0,1,0,15,1,0,-1.684838851672245,-0.7364896030087087,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,-1.1035100859716893,True,False,False,False
15,0,1,0,0,11,1,1,0.9005874363939876,-0.023916487112971903,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0.2568088536303716,False,False,False,False
16,1,0,0,0,11,1,0,-0.06991734258401525,-0.34376195124614983,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,-0.29238114312567437,False,False,False,False
17,1,0,1,1,1,1,1,0.37799998431260246,-1.7335951211631897,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-1.2695827719121815,False,False,False,False
18,0,0,1,1,37,1,1,0.7828366454136961,0.7571502939026116,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.8436450503442127,False,False,True,False
19,1,0,0,1,22,1,1,0.7943133038382861,0.4260185642268114,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,0.5832943048367123,True,False,False,False
20,0,0,0,0,1,1,1,0.3840576537171424,-1.7313220320254796,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-1.2659112598479698,False,False,False,False
21,0,0,1,1,1,1,0,-1.7671172527122072,-2.538532195963177,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,-2.587482256305251,False,False,False,False
22,1,0,1,1,46,1,1,0.6050918387911727,0.8352875742330215,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8521430493546172,False,False,True,False
23,0,0,0,0,51,1,0,1.1080505463166368,1.1004479660655844,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,1.2152992894401338,False,False,True,False
24,0,0,1,0,41,1,1,1.0597050151297014,0.8993019991227688,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,1.0404873617007335,False,False,True,False
25,0,0,1,0,5,1,0,0.3275071894575534,-0.6995581307087301,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,-0.4556185447154248,False,False,False,False
26,0,0,0,0,45,1,1,0.7924058269736887,0.8763437149332135,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.9414895133028894,False,False,True,False
27,1,0,1,1,29,1,1,0.12201798253888271,0.36958153413510875,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.334656308473916,False,True,False,False
28,0,1,0,0,15,1,1,0.8338902301213726,0.19515166606732723,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.4112782421854256,True,False,False,False
29,1,0,0,0,72,0,1,0.21786345839277657,0.9447001141255311,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0.8219554418442426,False,False,False,True
30,1,0,1,0,50,1,1,1.0515139104933293,1.0471379860209775,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,1.1557792789006451,False,False,True,False
31,1,0,0,1,27,1,0,-1.672829010936306,-0.3721442836249987,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,-0.8089403896682896,False,True,False,False
32,1,0,1,0,72,1,1,0.7113239265767034,1.168991228712354,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,1.1500945227460668,False,False,False,True
33,0,0,1,1,51,1,1,0.3719209474232504,0.7987381222652294,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,0.7524112047453045,False,False,True,False
34,0,0,1,0,60,1,1,0.8816635816313285,1.0766842957625122,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,1.1280421198969353,False,False,True,False
35,1,0,0,0,17,1,0,-1.7671172527122072,-0.6659316545585087,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,-1.0729820519039626,True,False,False,False
36,0,0,0,0,72,1,1,-1.629495397994101,0.20390669222701968,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,-0.3361005061266136,False,False,False,True
